,open,close,high,low,volume,money
2013-08-20,2.98,3.0,3.03,2.94,8442366.0,25197310.0
2013-08-21,2.99,2.99,3.01,2.97,3762236.0,11230102.0
2013-08-22,2.99,2.97,3.01,2.96,4285669.0,12800533.0
2013-08-23,2.99,2.97,3.02,2.93,6814892.0,20309228.0
2013-08-26,2.97,3.07,3.1,2.96,18002416.0,55006368.0
2013-08-27,3.08,3.16,3.19,3.06,22145264.0,69629976.0
2013-08-28,3.14,3.31,3.4,3.11,56939088.0,186102976.0
2013-08-29,3.3,3.35,3.47,3.22,47460816.0,158983040.0
2013-08-30,3.3,3.46,3.57,3.3,58951600.0,202715648.0
2013-09-02,3.5,3.29,3.53,3.22,40710564.0,135691792.0
2013-09-03,3.25,3.3,3.31,3.17,23079496.0,74736632.0
2013-09-04,3.27,3.32,3.35,3.25,19606088.0,64604760.0
2013-09-05,3.28,3.27,3.31,3.23,10225286.0,33418526.0
2013-09-06,3.26,3.4,3.42,3.24,28666944.0,96740816.0
2013-09-09,3.43,3.57,3.65,3.37,53605636.0,189498432.0
2013-09-10,3.59,3.93,3.93,3.56,101334056.0,384722592.0
2013-09-11,4.2,4.32,4.32,4.06,44194216.0,188897664.0
2013-09-12,4.35,4.16,4.47,4.06,129152560.0,542013952.0
2013-09-13,4.06,3.86,4.1,3.75,91986464.0,359089056.0
2013-09-16,3.8,3.78,3.89,3.76,37506228.0,143121952.0
2013-09-17,3.79,3.66,3.82,3.65,32729916.0,122615096.0
2013-09-18,3.68,3.72,3.76,3.66,22568032.0,83639304.0
2013-09-23,3.73,3.76,3.78,3.68,25383206.0,94742464.0
2013-09-24,3.75,3.77,3.84,3.62,42516100.0,157827264.0
2013-09-25,3.75,3.69,3.82,3.68,30404358.0,113870704.0
2013-09-26,3.65,3.47,3.66,3.42,35350424.0,124703760.0
2013-09-27,3.42,3.49,3.5,3.4,15996829.0,55050212.0
2013-09-30,3.49,3.5,3.54,3.46,9935995.0,34848884.0
2013-10-08,3.5,3.54,3.57,3.42,13005477.0,45643740.0
2013-10-09,3.52,3.65,3.67,3.48,24156528.0,87280016.0
2013-10-10,3.68,3.56,3.71,3.55,20381644.0,73641368.0
2013-10-11,3.57,3.64,3.66,3.55,16188224.0,58544652.0
2013-10-14,3.65,3.82,3.94,3.65,42908644.0,164149696.0
2013-10-15,3.87,3.87,3.9,3.77,25433490.0,97124032.0
2013-10-16,3.84,3.66,3.84,3.63,23546524.0,87386904.0
2013-10-17,3.68,3.65,3.71,3.63,14006791.0,51374568.0
