,term,term_d,rate,,
2015/1/4,0d,0,2.9057,,
2015/1/4,1m,0.08,3.6228,,
2015/1/4,2m,0.17,3.5336,,
2015/1/4,3m,0.25,3.3351,,
2015/1/4,6m,0.5,3.2039,,
2015/1/4,9m,0.75,3.2425,,
2015/1/4,1y,1,3.2537,,
2015/1/4,2y,2,3.3145,,
2015/1/4,3y,3,3.3759,,
2015/1/4,4y,4,3.4481,,
2015/1/4,5y,5,3.5221,,
2015/1/4,6y,6,3.5633,,
2015/1/4,7y,7,3.5931,,
2015/1/4,8y,8,3.6131,,
2015/1/4,9y,9,3.6193,,
2015/1/4,10y,10,3.6285,,
2015/1/4,15y,15,3.8468,,
2015/1/4,20y,20,4.0367,,
2015/1/4,30y,30,4.127,,
2015/1/4,40y,40,4.1861,,
2015/1/4,50y,50,4.2529,,
2015/1/5,0d,0,2.6867,,
2015/1/5,1m,0.08,3.3578,,
2015/1/5,2m,0.17,3.341,,
2015/1/5,3m,0.25,3.3551,,
2015/1/5,6m,0.5,3.2338,,
2015/1/5,9m,0.75,3.2738,,
2015/1/5,1y,1,3.2314,,
2015/1/5,2y,2,3.3071,,
2015/1/5,3y,3,3.3783,,
2015/1/5,4y,4,3.4507,,
2015/1/5,5y,5,3.522,,
2015/1/5,6y,6,3.5663,,
2015/1/5,7y,7,3.5955,,
2015/1/5,8y,8,3.6136,,
2015/1/5,9y,9,3.6196,,
2015/1/5,10y,10,3.6251,,
2015/1/5,15y,15,3.8434,,
2015/1/5,20y,20,4.0333,,
2015/1/5,30y,30,4.1236,,
2015/1/5,40y,40,4.1827,,
2015/1/5,50y,50,4.2495,,
2015/1/6,0d,0,2.2977,,
2015/1/6,1m,0.08,3.3584,,
2015/1/6,2m,0.17,3.4259,,
2015/1/6,3m,0.25,3.3722,,
2015/1/6,6m,0.5,3.202,,
2015/1/6,9m,0.75,3.2738,,
2015/1/6,1y,1,3.2189,,
2015/1/6,2y,2,3.2901,,
2015/1/6,3y,3,3.3589,,
2015/1/6,4y,4,3.4409,,
2015/1/6,5y,5,3.5238,,
2015/1/6,6y,6,3.5659,,
2015/1/6,7y,7,3.596,,
2015/1/6,8y,8,3.6191,,
2015/1/6,9y,9,3.6265,,
2015/1/6,10y,10,3.6353,,
2015/1/6,15y,15,3.8536,,
2015/1/6,20y,20,4.0435,,
2015/1/6,30y,30,4.1338,,
2015/1/6,40y,40,4.1929,,
2015/1/6,50y,50,4.2597,,
2015/1/7,0d,0,2.2977,,
2015/1/7,1m,0.08,3.4463,,
2015/1/7,2m,0.17,3.4302,,
2015/1/7,3m,0.25,3.3722,,
2015/1/7,6m,0.5,3.1822,,
2015/1/7,9m,0.75,3.2013,,
2015/1/7,1y,1,3.1767,,
2015/1/7,2y,2,3.2522,,
2015/1/7,3y,3,3.3255,,
2015/1/7,4y,4,3.412,,
2015/1/7,5y,5,3.5001,,
2015/1/7,6y,6,3.5493,,
2015/1/7,7y,7,3.5876,,
2015/1/7,8y,8,3.6161,,
2015/1/7,9y,9,3.6277,,
2015/1/7,10y,10,3.6408,,
2015/1/7,15y,15,3.8591,,
2015/1/7,20y,20,4.049,,
2015/1/7,30y,30,4.1393,,
2015/1/7,40y,40,4.1984,,
2015/1/7,50y,50,4.2652,,
2015/1/8,0d,0,2.2467,,
2015/1/8,1m,0.08,3.4963,,
2015/1/8,2m,0.17,3.4639,,
2015/1/8,3m,0.25,3.3734,,
2015/1/8,6m,0.5,3.2022,,
2015/1/8,9m,0.75,3.201,,
2015/1/8,1y,1,3.189,,
2015/1/8,2y,2,3.2515,,
2015/1/8,3y,3,3.3146,,
2015/1/8,4y,4,3.4145,,
2015/1/8,5y,5,3.5199,,
2015/1/8,6y,6,3.558,,
2015/1/8,7y,7,3.5799,,
2015/1/8,8y,8,3.6066,,
2015/1/8,9y,9,3.6228,,
2015/1/8,10y,10,3.6415,,
2015/1/8,15y,15,3.8598,,
2015/1/8,20y,20,4.0497,,
2015/1/8,30y,30,4.14,,
2015/1/8,40y,40,4.1991,,
2015/1/8,50y,50,4.2659,,
2015/1/9,0d,0,2.2467,,
2015/1/9,1m,0.08,3.5163,,
2015/1/9,2m,0.17,3.4965,,
2015/1/9,3m,0.25,3.3534,,
2015/1/9,6m,0.5,3.2054,,
2015/1/9,9m,0.75,3.2098,,
2015/1/9,1y,1,3.1787,,
2015/1/9,2y,2,3.2576,,
2015/1/9,3y,3,3.3337,,
2015/1/9,4y,4,3.4265,,
2015/1/9,5y,5,3.5212,,
2015/1/9,6y,6,3.5632,,
2015/1/9,7y,7,3.5915,,
2015/1/9,8y,8,3.6147,,
2015/1/9,9y,9,3.6229,,
2015/1/9,10y,10,3.6348,,
2015/1/9,15y,15,3.8531,,
2015/1/9,20y,20,4.043,,
2015/1/9,30y,30,4.1333,,
2015/1/9,40y,40,4.1924,,
2015/1/9,50y,50,4.2592,,
2015/1/12,0d,0,2.1947,,
2015/1/12,1m,0.08,3.5173,,
2015/1/12,2m,0.17,3.5067,,
2015/1/12,3m,0.25,3.3634,,
2015/1/12,6m,0.5,3.2117,,
2015/1/12,9m,0.75,3.2049,,
2015/1/12,1y,1,3.2146,,
2015/1/12,2y,2,3.2544,,
2015/1/12,3y,3,3.3025,,
2015/1/12,4y,4,3.4096,,
2015/1/12,5y,5,3.5217,,
2015/1/12,6y,6,3.5558,,
2015/1/12,7y,7,3.5746,,
2015/1/12,8y,8,3.6,,
2015/1/12,9y,9,3.6175,,
2015/1/12,10y,10,3.6371,,
2015/1/12,15y,15,3.8554,,
2015/1/12,20y,20,4.0453,,
2015/1/12,30y,30,4.1456,,
2015/1/12,40y,40,4.1947,,
2015/1/12,50y,50,4.2592,,
2015/1/13,0d,0,2.1747,,
2015/1/13,1m,0.08,3.5223,,
2015/1/13,2m,0.17,3.4792,,
2015/1/13,3m,0.25,3.3433,,
2015/1/13,6m,0.5,3.2123,,
2015/1/13,9m,0.75,3.2062,,
2015/1/13,1y,1,3.2014,,
2015/1/13,2y,2,3.232,,
2015/1/13,3y,3,3.2681,,
2015/1/13,4y,4,3.3568,,
2015/1/13,5y,5,3.4551,,
2015/1/13,6y,6,3.4976,,
2015/1/13,7y,7,3.5301,,
2015/1/13,8y,8,3.5572,,
2015/1/13,9y,9,3.5697,,
2015/1/13,10y,10,3.5836,,
2015/1/13,15y,15,3.8019,,
2015/1/13,20y,20,3.9918,,
2015/1/13,30y,30,4.0921,,
2015/1/13,40y,40,4.1412,,
2015/1/13,50y,50,4.2057,,
2015/1/14,0d,0,2.1437,,
2015/1/14,1m,0.08,3.4191,,
2015/1/14,2m,0.17,3.4761,,
2015/1/14,3m,0.25,3.3433,,
2015/1/14,6m,0.5,3.218,,
2015/1/14,9m,0.75,3.2162,,
2015/1/14,1y,1,3.2012,,
2015/1/14,2y,2,3.2196,,
2015/1/14,3y,3,3.246,,
2015/1/14,4y,4,3.3367,,
2015/1/14,5y,5,3.4379,,
2015/1/14,6y,6,3.4713,,
2015/1/14,7y,7,3.4925,,
2015/1/14,8y,8,3.516,,
2015/1/14,9y,9,3.528,,
2015/1/14,10y,10,3.5411,,
2015/1/14,15y,15,3.7595,,
2015/1/14,20y,20,3.9494,,
2015/1/14,30y,30,4.0497,,
2015/1/14,40y,40,4.0988,,
2015/1/14,50y,50,4.1633,,
2015/1/15,0d,0,2.1387,,
2015/1/15,1m,0.08,3.4171,,
2015/1/15,2m,0.17,3.3961,,
2015/1/15,3m,0.25,3.2933,,
2015/1/15,6m,0.5,3.2248,,
2015/1/15,9m,0.75,3.2164,,
2015/1/15,1y,1,3.2059,,
2015/1/15,2y,2,3.209,,
2015/1/15,3y,3,3.2267,,
2015/1/15,4y,4,3.3452,,
2015/1/15,5y,5,3.4575,,
2015/1/15,6y,6,3.4836,,
2015/1/15,7y,7,3.4957,,
2015/1/15,8y,8,3.5138,,
2015/1/15,9y,9,3.5294,,
2015/1/15,10y,10,3.5464,,
2015/1/15,15y,15,3.7648,,
2015/1/15,20y,20,3.9694,,
2015/1/15,30y,30,4.0697,,
2015/1/15,40y,40,4.1088,,
2015/1/15,50y,50,4.1686,,
2015/1/16,0d,0,2.1407,,
2015/1/16,1m,0.08,3.3431,,
2015/1/16,2m,0.17,3.3091,,
2015/1/16,3m,0.25,3.208,,
2015/1/16,6m,0.5,3.1601,,
2015/1/16,9m,0.75,3.2018,,
2015/1/16,1y,1,3.2029,,
2015/1/16,2y,2,3.2088,,
2015/1/16,3y,3,3.2248,,
2015/1/16,4y,4,3.3103,,
2015/1/16,5y,5,3.4011,,
2015/1/16,6y,6,3.4252,,
2015/1/16,7y,7,3.439,,
2015/1/16,8y,8,3.4615,,
2015/1/16,9y,9,3.4815,,
2015/1/16,10y,10,3.5017,,
2015/1/16,15y,15,3.7201,,
2015/1/16,20y,20,3.9247,,
2015/1/16,30y,30,4.025,,
2015/1/16,40y,40,4.0641,,
2015/1/16,50y,50,4.1239,,
2015/1/19,0d,0,2.1477,,
2015/1/19,1m,0.08,3.2782,,
2015/1/19,2m,0.17,3.2682,,
2015/1/19,3m,0.25,3.1906,,
2015/1/19,6m,0.5,3.1801,,
2015/1/19,9m,0.75,3.2018,,
2015/1/19,1y,1,3.1887,,
2015/1/19,2y,2,3.2026,,
2015/1/19,3y,3,3.2254,,
2015/1/19,4y,4,3.312,,
2015/1/19,5y,5,3.4013,,
2015/1/19,6y,6,3.4252,,
2015/1/19,7y,7,3.4385,,
2015/1/19,8y,8,3.4543,,
2015/1/19,9y,9,3.4633,,
2015/1/19,10y,10,3.475,,
2015/1/19,15y,15,3.6934,,
2015/1/19,20y,20,3.898,,
2015/1/19,30y,30,3.9983,,
2015/1/19,40y,40,4.0374,,
2015/1/19,50y,50,4.0972,,
2015/1/20,0d,0,2.1747,,
2015/1/20,1m,0.08,3.3347,,
2015/1/20,2m,0.17,3.247,,
2015/1/20,3m,0.25,3.2206,,
2015/1/20,6m,0.5,3.1776,,
2015/1/20,9m,0.75,3.1962,,
2015/1/20,1y,1,3.1812,,
2015/1/20,2y,2,3.1936,,
2015/1/20,3y,3,3.2166,,
2015/1/20,4y,4,3.3128,,
2015/1/20,5y,5,3.399,,
2015/1/20,6y,6,3.4185,,
2015/1/20,7y,7,3.4277,,
2015/1/20,8y,8,3.4423,,
2015/1/20,9y,9,3.4561,,
2015/1/20,10y,10,3.4711,,
2015/1/20,15y,15,3.6895,,
2015/1/20,20y,20,3.8941,,
2015/1/20,30y,30,3.9944,,
2015/1/20,40y,40,4.0335,,
2015/1/20,50y,50,4.0933,,
2015/1/21,0d,0,2.1957,,
2015/1/21,1m,0.08,3.3912,,
2015/1/21,2m,0.17,3.2553,,
2015/1/21,3m,0.25,3.2006,,
2015/1/21,6m,0.5,3.2028,,
2015/1/21,9m,0.75,3.2011,,
2015/1/21,1y,1,3.1752,,
2015/1/21,2y,2,3.1909,,
2015/1/21,3y,3,3.2161,,
2015/1/21,4y,4,3.3012,,
2015/1/21,5y,5,3.382,,
2015/1/21,6y,6,3.4025,,
2015/1/21,7y,7,3.4132,,
2015/1/21,8y,8,3.4315,,
2015/1/21,9y,9,3.4487,,
2015/1/21,10y,10,3.4672,,
2015/1/21,15y,15,3.6856,,
2015/1/21,20y,20,3.8902,,
2015/1/21,30y,30,3.9905,,
2015/1/21,40y,40,4.0296,,
2015/1/21,50y,50,4.0894,,
2015/1/22,0d,0,2.1787,,
2015/1/22,1m,0.08,3.3572,,
2015/1/22,2m,0.17,3.2189,,
2015/1/22,3m,0.25,3.1606,,
2015/1/22,6m,0.5,3.1533,,
2015/1/22,9m,0.75,3.2011,,
2015/1/22,1y,1,3.1652,,
2015/1/22,2y,2,3.1809,,
2015/1/22,3y,3,3.2055,,
2015/1/22,4y,4,3.285,,
2015/1/22,5y,5,3.3651,,
2015/1/22,6y,6,3.3864,,
2015/1/22,7y,7,3.3986,,
2015/1/22,8y,8,3.4177,,
2015/1/22,9y,9,3.4343,,
2015/1/22,10y,10,3.4521,,
2015/1/22,15y,15,3.6704,,
2015/1/22,20y,20,3.875,,
2015/1/22,30y,30,3.9753,,
2015/1/22,40y,40,4.0144,,
2015/1/22,50y,50,4.0742,,
2015/1/23,0d,0,2.1357,,
2015/1/23,1m,0.08,3.3162,,
2015/1/23,2m,0.17,3.1879,,
2015/1/23,3m,0.25,3.1706,,
2015/1/23,6m,0.5,3.1454,,
2015/1/23,9m,0.75,3.2111,,
2015/1/23,1y,1,3.1606,,
2015/1/23,2y,2,3.1741,,
2015/1/23,3y,3,3.196,,
2015/1/23,4y,4,3.2701,,
2015/1/23,5y,5,3.3513,,
2015/1/23,6y,6,3.3797,,
2015/1/23,7y,7,3.4002,,
2015/1/23,8y,8,3.4219,,
2015/1/23,9y,9,3.4356,,
2015/1/23,10y,10,3.452,,
2015/1/23,15y,15,3.6703,,
2015/1/23,20y,20,3.8749,,
2015/1/23,30y,30,3.9752,,
2015/1/23,40y,40,4.0143,,
2015/1/23,50y,50,4.0741,,
2015/1/26,0d,0,2.0957,,
2015/1/26,1m,0.08,3.1752,,
2015/1/26,2m,0.17,3.1497,,
2015/1/26,3m,0.25,3.1428,,
2015/1/26,6m,0.5,3.128,,
2015/1/26,9m,0.75,3.1422,,
2015/1/26,1y,1,3.1427,,
2015/1/26,2y,2,3.143,,
2015/1/26,3y,3,3.1534,,
2015/1/26,4y,4,3.2381,,
2015/1/26,5y,5,3.3272,,
2015/1/26,6y,6,3.3502,,
2015/1/26,7y,7,3.3645,,
2015/1/26,8y,8,3.3886,,
2015/1/26,9y,9,3.4108,,
2015/1/26,10y,10,3.4341,,
2015/1/26,15y,15,3.6524,,
2015/1/26,20y,20,3.857,,
2015/1/26,30y,30,3.9573,,
2015/1/26,40y,40,3.9964,,
2015/1/26,50y,50,4.0562,,
2015/1/27,0d,0,2.0817,,
2015/1/27,1m,0.08,3.1516,,
2015/1/27,2m,0.17,3.1497,,
2015/1/27,3m,0.25,3.1428,,
2015/1/27,6m,0.5,3.1097,,
2015/1/27,9m,0.75,3.1044,,
2015/1/27,1y,1,3.0817,,
2015/1/27,2y,2,3.1241,,
2015/1/27,3y,3,3.1701,,
2015/1/27,4y,4,3.2444,,
2015/1/27,5y,5,3.322,,
2015/1/27,6y,6,3.3654,,
2015/1/27,7y,7,3.3979,,
2015/1/27,8y,8,3.4174,,
2015/1/27,9y,9,3.4239,,
2015/1/27,10y,10,3.4309,,
2015/1/27,15y,15,3.6492,,
2015/1/27,20y,20,3.8538,,
2015/1/27,30y,30,3.9541,,
2015/1/27,40y,40,3.9932,,
2015/1/27,50y,50,4.053,,
2015/1/28,0d,0,2.0977,,
2015/1/28,1m,0.08,3.1578,,
2015/1/28,2m,0.17,3.1313,,
2015/1/28,3m,0.25,3.1147,,
2015/1/28,6m,0.5,3.1217,,
2015/1/28,9m,0.75,3.1083,,
2015/1/28,1y,1,3.0955,,
2015/1/28,2y,2,3.1333,,
2015/1/28,3y,3,3.1794,,
2015/1/28,4y,4,3.2799,,
2015/1/28,5y,5,3.3806,,
2015/1/28,6y,6,3.41,,
2015/1/28,7y,7,3.4275,,
2015/1/28,8y,8,3.4487,,
2015/1/28,9y,9,3.4611,,
2015/1/28,10y,10,3.4767,,
2015/1/28,15y,15,3.6949,,
2015/1/28,20y,20,3.8638,,
2015/1/28,30y,30,3.9674,,
2015/1/28,40y,40,4.0389,,
2015/1/28,50y,50,4.0987,,
2015/1/29,0d,0,2.1727,,
2015/1/29,1m,0.08,3.1307,,
2015/1/29,2m,0.17,3.1301,,
2015/1/29,3m,0.25,3.1547,,
2015/1/29,6m,0.5,3.1028,,
2015/1/29,9m,0.75,3.1079,,
2015/1/29,1y,1,3.098,,
2015/1/29,2y,2,3.1405,,
2015/1/29,3y,3,3.1927,,
2015/1/29,4y,4,3.3059,,
2015/1/29,5y,5,3.4086,,
2015/1/29,6y,6,3.4373,,
2015/1/29,7y,7,3.4502,,
2015/1/29,8y,8,3.468,,
2015/1/29,9y,9,3.4813,,
2015/1/29,10y,10,3.4966,,
2015/1/29,15y,15,3.7149,,
2015/1/29,20y,20,3.8838,,
2015/1/29,30y,30,3.9874,,
2015/1/29,40y,40,4.0589,,
2015/1/29,50y,50,4.0987,,
2015/1/30,0d,0,2.2207,,
2015/1/30,1m,0.08,3.185,,
2015/1/30,2m,0.17,3.1853,,
2015/1/30,3m,0.25,3.1847,,
2015/1/30,6m,0.5,3.1428,,
2015/1/30,9m,0.75,3.147,,
2015/1/30,1y,1,3.0963,,
2015/1/30,2y,2,3.1553,,
2015/1/30,3y,3,3.2198,,
2015/1/30,4y,4,3.3283,,
2015/1/30,5y,5,3.4117,,
2015/1/30,6y,6,3.4321,,
2015/1/30,7y,7,3.4402,,
2015/1/30,8y,8,3.4574,,
2015/1/30,9y,9,3.4795,,
2015/1/30,10y,10,3.5019,,
2015/1/30,15y,15,3.7201,,
2015/1/30,20y,20,3.889,,
2015/1/30,30y,30,3.9926,,
2015/1/30,40y,40,4.0641,,
2015/1/30,50y,50,4.1039,,
2015/2/2,0d,0,2.2967,,
2015/2/2,1m,0.08,3.223,,
2015/2/2,2m,0.17,3.1853,,
2015/2/2,3m,0.25,3.1947,,
2015/2/2,6m,0.5,3.1368,,
2015/2/2,9m,0.75,3.1207,,
2015/2/2,1y,1,3.0832,,
2015/2/2,2y,2,3.1417,,
2015/2/2,3y,3,3.2044,,
2015/2/2,4y,4,3.2997,,
2015/2/2,5y,5,3.3753,,
2015/2/2,6y,6,3.3939,,
2015/2/2,7y,7,3.4036,,
2015/2/2,8y,8,3.4247,,
2015/2/2,9y,9,3.4491,,
2015/2/2,10y,10,3.4729,,
2015/2/2,15y,15,3.6911,,
2015/2/2,20y,20,3.86,,
2015/2/2,30y,30,3.9636,,
2015/2/2,40y,40,4.0351,,
2015/2/2,50y,50,4.1039,,
2015/2/3,0d,0,2.3621,,
2015/2/3,1m,0.08,3.2417,,
2015/2/3,2m,0.17,3.2402,,
2015/2/3,3m,0.25,3.2347,,
2015/2/3,6m,0.5,3.1567,,
2015/2/3,9m,0.75,3.1344,,
2015/2/3,1y,1,3.0907,,
2015/2/3,2y,2,3.1432,,
2015/2/3,3y,3,3.2033,,
2015/2/3,4y,4,3.3162,,
2015/2/3,5y,5,3.3787,,
2015/2/3,6y,6,3.3876,,
2015/2/3,7y,7,3.3901,,
2015/2/3,8y,8,3.4035,,
2015/2/3,9y,9,3.4287,,
2015/2/3,10y,10,3.4533,,
2015/2/3,15y,15,3.6714,,
2015/2/3,20y,20,3.8403,,
2015/2/3,30y,30,3.9439,,
2015/2/3,40y,40,4.0154,,
2015/2/3,50y,50,4.0842,,
2015/2/4,0d,0,2.3807,,
2015/2/4,1m,0.08,3.303,,
2015/2/4,2m,0.17,3.2002,,
2015/2/4,3m,0.25,3.1699,,
2015/2/4,6m,0.5,3.1543,,
2015/2/4,9m,0.75,3.1368,,
2015/2/4,1y,1,3.0906,,
2015/2/4,2y,2,3.1288,,
2015/2/4,3y,3,3.1788,,
2015/2/4,4y,4,3.2973,,
2015/2/4,5y,5,3.3697,,
2015/2/4,6y,6,3.3815,,
2015/2/4,7y,7,3.3851,,
2015/2/4,8y,8,3.4014,,
2015/2/4,9y,9,3.4305,,
2015/2/4,10y,10,3.4589,,
2015/2/4,15y,15,3.677,,
2015/2/4,20y,20,3.8459,,
2015/2/4,30y,30,3.9495,,
2015/2/4,40y,40,4.021,,
2015/2/4,50y,50,4.0942,,
2015/2/5,0d,0,2.2737,,
2015/2/5,1m,0.08,3.1512,,
2015/2/5,2m,0.17,3.1655,,
2015/2/5,3m,0.25,3.1513,,
2015/2/5,6m,0.5,3.0543,,
2015/2/5,9m,0.75,3.0762,,
2015/2/5,1y,1,3.0804,,
2015/2/5,2y,2,3.082,,
2015/2/5,3y,3,3.098,,
2015/2/5,4y,4,3.2326,,
2015/2/5,5y,5,3.3384,,
2015/2/5,6y,6,3.3589,,
2015/2/5,7y,7,3.368,,
2015/2/5,8y,8,3.3804,,
2015/2/5,9y,9,3.3908,,
2015/2/5,10y,10,3.4018,,
2015/2/5,15y,15,3.6199,,
2015/2/5,20y,20,3.7888,,
2015/2/5,30y,30,3.8924,,
2015/2/5,40y,40,3.9639,,
2015/2/5,50y,50,4.0371,,
2015/2/6,0d,0,2.2637,,
2015/2/6,1m,0.08,3.144,,
2015/2/6,2m,0.17,3.1655,,
2015/2/6,3m,0.25,3.1513,,
2015/2/6,6m,0.5,3.0286,,
2015/2/6,9m,0.75,3.0883,,
2015/2/6,1y,1,3.0912,,
2015/2/6,2y,2,3.1066,,
2015/2/6,3y,3,3.1377,,
2015/2/6,4y,4,3.2529,,
2015/2/6,5y,5,3.3498,,
2015/2/6,6y,6,3.3724,,
2015/2/6,7y,7,3.3843,,
2015/2/6,8y,8,3.4019,,
2015/2/6,9y,9,3.417,,
2015/2/6,10y,10,3.4325,,
2015/2/6,15y,15,3.65,,
2015/2/6,20y,20,3.8189,,
2015/2/6,30y,30,3.9225,,
2015/2/6,40y,40,3.994,,
2015/2/6,50y,50,4.0672,,
2015/2/9,0d,0,2.2197,,
2015/2/9,1m,0.08,3.144,,
2015/2/9,2m,0.17,3.1432,,
2015/2/9,3m,0.25,3.1228,,
2015/2/9,6m,0.5,3.0586,,
2015/2/9,9m,0.75,3.0818,,
2015/2/9,1y,1,3.0856,,
2015/2/9,2y,2,3.1147,,
2015/2/9,3y,3,3.1536,,
2015/2/9,4y,4,3.2474,,
2015/2/9,5y,5,3.328,,
2015/2/9,6y,6,3.3485,,
2015/2/9,7y,7,3.358,,
2015/2/9,8y,8,3.3776,,
2015/2/9,9y,9,3.4007,,
2015/2/9,10y,10,3.4236,,
2015/2/9,15y,15,3.6411,,
2015/2/9,20y,20,3.81,,
2015/2/9,30y,30,3.9136,,
2015/2/9,40y,40,3.9851,,
2015/2/9,50y,50,4.0583,,
2015/2/10,0d,0,2.2597,,
2015/2/10,1m,0.08,3.15,,
2015/2/10,2m,0.17,3.1688,,
2015/2/10,3m,0.25,3.1516,,
2015/2/10,6m,0.5,3.1162,,
2015/2/10,9m,0.75,3.089,,
2015/2/10,1y,1,3.0932,,
2015/2/10,2y,2,3.1102,,
2015/2/10,3y,3,3.1443,,
2015/2/10,4y,4,3.2543,,
2015/2/10,5y,5,3.3277,,
2015/2/10,6y,6,3.3407,,
2015/2/10,7y,7,3.3453,,
2015/2/10,8y,8,3.3647,,
2015/2/10,9y,9,3.3977,,
2015/2/10,10y,10,3.4299,,
2015/2/10,15y,15,3.6474,,
2015/2/10,20y,20,3.8163,,
2015/2/10,30y,30,3.9199,,
2015/2/10,40y,40,3.9914,,
2015/2/10,50y,50,4.0646,,
2015/2/11,0d,0,2.3397,,
2015/2/11,1m,0.08,3.163,,
2015/2/11,2m,0.17,3.1664,,
2015/2/11,3m,0.25,3.1516,,
2015/2/11,6m,0.5,3.0786,,
2015/2/11,9m,0.75,3.0844,,
2015/2/11,1y,1,3.0928,,
2015/2/11,2y,2,3.1037,,
2015/2/11,3y,3,3.1308,,
2015/2/11,4y,4,3.2275,,
2015/2/11,5y,5,3.2856,,
2015/2/11,6y,6,3.2934,,
2015/2/11,7y,7,3.2982,,
2015/2/11,8y,8,3.3221,,
2015/2/11,9y,9,3.3598,,
2015/2/11,10y,10,3.3955,,
2015/2/11,15y,15,3.613,,
2015/2/11,20y,20,3.7819,,
2015/2/11,30y,30,3.8855,,
2015/2/11,40y,40,3.957,,
2015/2/11,50y,50,4.0302,,
2015/2/12,0d,0,2.4657,,
2015/2/12,1m,0.08,3.174,,
2015/2/12,2m,0.17,3.1664,,
2015/2/12,3m,0.25,3.1388,,
2015/2/12,6m,0.5,3.0789,,
2015/2/12,9m,0.75,3.0806,,
2015/2/12,1y,1,3.0872,,
2015/2/12,2y,2,3.0947,,
2015/2/12,3y,3,3.1145,,
2015/2/12,4y,4,3.1867,,
2015/2/12,5y,5,3.2509,,
2015/2/12,6y,6,3.2654,,
2015/2/12,7y,7,3.2718,,
2015/2/12,8y,8,3.3008,,
2015/2/12,9y,9,3.3449,,
2015/2/12,10y,10,3.3865,,
2015/2/12,15y,15,3.604,,
2015/2/12,20y,20,3.7729,,
2015/2/12,30y,30,3.8855,,
2015/2/12,40y,40,3.957,,
2015/2/12,50y,50,4.0302,,
2015/2/13,0d,0,2.4987,,
2015/2/13,1m,0.08,3.1247,,
2015/2/13,2m,0.17,3.1867,,
2015/2/13,3m,0.25,3.1088,,
2015/2/13,6m,0.5,3.0815,,
2015/2/13,9m,0.75,3.0778,,
2015/2/13,1y,1,3.0859,,
2015/2/13,2y,2,3.086,,
2015/2/13,3y,3,3.0872,,
2015/2/13,4y,4,3.145,,
2015/2/13,5y,5,3.2167,,
2015/2/13,6y,6,3.2447,,
2015/2/13,7y,7,3.2613,,
2015/2/13,8y,8,3.2915,,
2015/2/13,9y,9,3.3236,,
2015/2/13,10y,10,3.3552,,
2015/2/13,15y,15,3.5727,,
2015/2/13,20y,20,3.7416,,
2015/2/13,30y,30,3.9055,,
2015/2/13,40y,40,3.977,,
2015/2/13,50y,50,4.0502,,
2015/2/15,0d,0,2.5827,,
2015/2/15,1m,0.08,3.1546,,
2015/2/15,2m,0.17,3.1503,,
2015/2/15,3m,0.25,3.1135,,
2015/2/15,6m,0.5,3.052,,
2015/2/15,9m,0.75,3.0532,,
2015/2/15,1y,1,3.0656,,
2015/2/15,2y,2,3.066,,
2015/2/15,3y,3,3.0733,,
2015/2/15,4y,4,3.1413,,
2015/2/15,5y,5,3.2118,,
2015/2/15,6y,6,3.2344,,
2015/2/15,7y,7,3.2413,,
2015/2/15,8y,8,3.2692,,
2015/2/15,9y,9,3.3164,,
2015/2/15,10y,10,3.3625,,
2015/2/15,15y,15,3.58,,
2015/2/15,20y,20,3.7489,,
2015/2/15,30y,30,3.9128,,
2015/2/15,40y,40,3.9843,,
2015/2/15,50y,50,4.0512,,
2015/2/16,0d,0,2.5897,,
2015/2/16,1m,0.08,3.1646,,
2015/2/16,2m,0.17,3.107,,
2015/2/16,3m,0.25,3.0756,,
2015/2/16,6m,0.5,3.0182,,
2015/2/16,9m,0.75,3.0432,,
2015/2/16,1y,1,3.0801,,
2015/2/16,2y,2,3.0527,,
2015/2/16,3y,3,3.0588,,
2015/2/16,4y,4,3.1288,,
2015/2/16,5y,5,3.1967,,
2015/2/16,6y,6,3.2152,,
2015/2/16,7y,7,3.2206,,
2015/2/16,8y,8,3.2477,,
2015/2/16,9y,9,3.2933,,
2015/2/16,10y,10,3.3374,,
2015/2/16,15y,15,3.5549,,
2015/2/16,20y,20,3.7238,,
2015/2/16,30y,30,3.8877,,
2015/2/16,40y,40,3.9592,,
2015/2/16,50y,50,4.0261,,
2015/2/17,0d,0,2.8077,,
2015/2/17,1m,0.08,3.1646,,
2015/2/17,2m,0.17,3.1072,,
2015/2/17,3m,0.25,3.0756,,
2015/2/17,6m,0.5,3.0182,,
2015/2/17,9m,0.75,3.0325,,
2015/2/17,1y,1,3.0624,,
2015/2/17,2y,2,3.0744,,
2015/2/17,3y,3,3.0948,,
2015/2/17,4y,4,3.1425,,
2015/2/17,5y,5,3.1974,,
2015/2/17,6y,6,3.2208,,
2015/2/17,7y,7,3.2314,,
2015/2/17,8y,8,3.2609,,
2015/2/17,9y,9,3.2999,,
2015/2/17,10y,10,3.3373,,
2015/2/17,15y,15,3.5549,,
2015/2/17,20y,20,3.7238,,
2015/2/17,30y,30,3.8877,,
2015/2/17,40y,40,3.9592,,
2015/2/17,50y,50,4.0261,,
2015/2/25,0d,0,2.7357,,
2015/2/25,1m,0.08,3.2132,,
2015/2/25,2m,0.17,3.0872,,
2015/2/25,3m,0.25,3.0656,,
2015/2/25,6m,0.5,3.0014,,
2015/2/25,9m,0.75,3.0459,,
2015/2/25,1y,1,3.0353,,
