,display_name,date,weight,market_cap
601555.XSHG,东吴证券,2017-02-21,0.28600000000000003,403.2
600959.XSHG,江苏有线,2017-02-21,0.18,431.1828
002594.XSHE,比亚迪,2017-02-21,0.281,1365.1627
002304.XSHE,洋河股份,2017-02-21,0.449,1254.8689
000895.XSHE,双汇发展,2017-02-21,0.225,724.5830000000002
603000.XSHG,人民网,2017-02-21,0.092,185.0927
000718.XSHE,苏宁环球,2017-02-21,0.094,223.3492
601800.XSHG,中国交建,2017-02-21,0.256,2879.1028
002174.XSHE,游族网络,2017-02-21,0.09699999999999999,229.9711
000568.XSHE,泸州老窖,2017-02-21,0.25,539.8672
002385.XSHE,大北农,2017-02-21,0.141,270.6442
000712.XSHE,锦龙股份,2017-02-21,0.11,194.3424
601018.XSHG,宁波港,2017-02-21,0.217,716.6029
300017.XSHE,网宿科技,2017-02-21,0.244,392.7564
002465.XSHE,海格通信,2017-02-21,0.213,254.9153
002074.XSHE,国轩高科,2017-02-21,0.145,265.5618
002466.XSHE,天齐锂业,2017-02-21,0.21899999999999997,345.7606
600489.XSHG,中金黄金,2017-02-21,0.222,433.1177
600886.XSHG,国投电力,2017-02-21,0.297,483.8435
600887.XSHG,伊利股份,2017-02-21,1.183,1100.299
000002.XSHE,万科A,2017-02-21,1.492,2316.0142
600737.XSHG,中粮糖业,2017-02-21,0.129,244.99400000000003
000001.XSHE,平安银行,2017-02-21,0.8490000000000001,1643.2084
300133.XSHE,华策影视,2017-02-21,0.079,197.0194
600482.XSHG,中国动力,2017-02-21,0.115,573.933
600739.XSHG,辽宁成大,2017-02-21,0.231,271.6765
600637.XSHG,东方明珠,2017-02-21,0.322,623.7137
600485.XSHG,信威集团,2017-02-21,0.226,426.8664
000008.XSHE,神州高铁,2017-02-21,0.076,246.918
000009.XSHE,中国宝安,2017-02-21,0.217,211.0657
600875.XSHG,东方电气,2017-02-21,0.13699999999999998,252.1515
000963.XSHE,华东医药,2017-02-21,0.19699999999999998,371.2999
601336.XSHG,新华保险,2017-02-21,0.408,1447.4696
300033.XSHE,同花顺,2017-02-21,0.165,369.3312
600406.XSHG,国电南瑞,2017-02-21,0.257,403.9349
600585.XSHG,海螺水泥,2017-02-21,0.42200000000000004,1090.0665
601607.XSHG,上海医药,2017-02-21,0.268,578.1158
601601.XSHG,中国太保,2017-02-21,0.9670000000000001,2529.2041
601600.XSHG,中国铝业,2017-02-21,0.358,769.0360000000002
000061.XSHE,农产品,2017-02-21,0.085,202.1084
