,code,display_name,date,weight
206,000807.XSHE,云铝股份,2012-04-25,0.112
207,000825.XSHE,太钢不锈,2012-04-25,0.173
208,000839.XSHE,中信国安,2012-04-25,0.145
209,000858.XSHE,五粮液,2012-04-25,1.289
210,000876.XSHE,新希望,2012-04-25,0.177
211,000878.XSHE,云南铜业,2012-04-25,0.236
212,000895.XSHE,双汇发展,2012-04-25,0.388
213,000898.XSHE,鞍钢股份,2012-04-25,0.16
214,000933.XSHE,神火股份,2012-04-25,0.212
215,000937.XSHE,冀中能源,2012-04-25,0.274
216,000960.XSHE,锡业股份,2012-04-25,0.203
217,000968.XSHE,煤气化,2012-04-25,0.087
218,000969.XSHE,安泰科技,2012-04-25,0.151
219,000983.XSHE,西山煤电,2012-04-25,0.5429999999999999
220,000999.XSHE,华润三九,2012-04-25,0.141
221,002001.XSHE,新和成,2012-04-25,0.142
222,002007.XSHE,华兰生物,2012-04-25,0.131
223,002024.XSHE,苏宁电器,2012-04-25,0.8690000000000001
224,002122.XSHE,天马股份,2012-04-25,0.09
225,002128.XSHE,露天煤业,2012-04-25,0.127
226,002142.XSHE,宁波银行,2012-04-25,0.245
227,002155.XSHE,辰州矿业,2012-04-25,0.204
228,002202.XSHE,金风科技,2012-04-25,0.232
229,002244.XSHE,滨江集团,2012-04-25,0.071
230,601618.XSHG,中国中冶,2012-04-25,0.258
231,002299.XSHE,圣农发展,2012-04-25,0.105
232,002344.XSHE,海宁皮城,2012-04-25,0.08900000000000001
233,002378.XSHE,章源钨业,2012-04-25,0.052000000000000005
234,002431.XSHE,棕榈园林,2012-04-25,0.064
235,600160.XSHG,巨化股份,2012-04-25,0.14300000000000002
236,600259.XSHG,广晟有色,2012-04-25,0.153
237,600498.XSHG,烽火通信,2012-04-25,0.118
238,600783.XSHG,鲁信创投,2012-04-25,0.08900000000000001
239,601099.XSHG,太平洋,2012-04-25,0.07200000000000001
240,601992.XSHG,金隅股份,2012-04-25,0.106
241,601991.XSHG,大唐发电,2012-04-25,0.202
242,601258.XSHG,庞大集团,2012-04-25,0.078
243,601233.XSHG,桐昆股份,2012-04-25,0.061
244,601216.XSHG,内蒙君正,2012-04-25,0.042
245,600873.XSHG,梅花集团,2012-04-25,0.071
246,600770.XSHG,综艺股份,2012-04-25,0.129
247,600372.XSHG,中航电子,2012-04-25,0.132
248,600252.XSHG,中恒集团,2012-04-25,0.154
249,600098.XSHG,广州控股,2012-04-25,0.084
250,002603.XSHE,以岭药业,2012-04-25,0.054000000000000006
251,002594.XSHE,比亚迪,2012-04-25,0.043
252,000581.XSHE,威孚高科,2012-04-25,0.26
253,000629.XSHE,攀钢钒钛,2012-04-25,0.457
254,002038.XSHE,双鹭药业,2012-04-25,0.118
255,000559.XSHE,万向钱潮,2012-04-25,0.099
256,000869.XSHE,张裕A,2012-04-25,0.191
257,002069.XSHE,獐子岛,2012-04-25,0.124
258,002106.XSHE,莱宝高科,2012-04-25,0.131
259,600267.XSHG,海正药业,2012-04-25,0.132
260,600859.XSHG,王府井,2012-04-25,0.13699999999999998
261,002073.XSHE,软控股份,2012-04-25,0.146
262,002310.XSHE,东方园林,2012-04-25,0.11
263,002493.XSHE,荣盛石化,2012-04-25,0.08199999999999999
264,002498.XSHE,汉缆股份,2012-04-25,0.038
265,002500.XSHE,山西证券,2012-04-25,0.079
266,600971.XSHG,恒源煤电,2012-04-25,0.097
267,601018.XSHG,宁波港,2012-04-25,0.135
268,601098.XSHG,中南传媒,2012-04-25,0.106
269,601118.XSHG,海南橡胶,2012-04-25,0.113
270,601377.XSHG,兴业证券,2012-04-25,0.106
271,601519.XSHG,大智慧,2012-04-25,0.033
272,601558.XSHG,华锐风电,2012-04-25,0.127
273,601717.XSHG,郑煤机,2012-04-25,0.189
274,601718.XSHG,际华集团,2012-04-25,0.083
275,601933.XSHG,永辉超市,2012-04-25,0.096
276,000776.XSHE,广发证券,2012-04-25,0.539
277,002092.XSHE,中泰化学,2012-04-25,0.175
278,002146.XSHE,荣盛发展,2012-04-25,0.119
279,002385.XSHE,大北农,2012-04-25,0.14
280,002399.XSHE,海普瑞,2012-04-25,0.07400000000000001
281,002405.XSHE,四维图新,2012-04-25,0.066
282,002415.XSHE,海康威视,2012-04-25,0.179
283,002422.XSHE,科伦药业,2012-04-25,0.187
284,600115.XSHG,东方航空,2012-04-25,0.182
285,600276.XSHG,恒瑞医药,2012-04-25,0.299
286,600406.XSHG,国电南瑞,2012-04-25,0.365
287,600481.XSHG,双良节能,2012-04-25,0.052000000000000005
288,600535.XSHG,天士力,2012-04-25,0.193
289,600546.XSHG,山煤国际,2012-04-25,0.109
290,600582.XSHG,天地科技,2012-04-25,0.147
291,600703.XSHG,三安光电,2012-04-25,0.129
292,600887.XSHG,伊利股份,2012-04-25,0.6990000000000001
293,600893.XSHG,航空动力,2012-04-25,0.16699999999999998
294,601101.XSHG,昊华能源,2012-04-25,0.162
295,601106.XSHG,中国一重,2012-04-25,0.17600000000000002
296,601158.XSHG,重庆水务,2012-04-25,0.119
297,601268.XSHG,二重重装,2012-04-25,0.046
298,601369.XSHG,陕鼓动力,2012-04-25,0.109
299,601818.XSHG,光大银行,2012-04-25,0.7170000000000001
