,display_name,date,weight,market_cap
000009.XSHE,中国宝安,2011-01-04,0.33,184.7731
000012.XSHE,南玻A,2011-01-04,0.28,415.9672
000021.XSHE,长城开发,2011-01-04,0.14,156.0706
000031.XSHE,中粮地产,2011-01-04,0.1,117.1671
000423.XSHE,东阿阿胶,2011-01-04,0.5,354.3489
000630.XSHE,铜陵有色,2011-01-04,0.4,453.8034
000680.XSHE,山推股份,2011-01-04,0.2,139.003
000690.XSHE,宝新能源,2011-01-04,0.12,96.1723
000725.XSHE,京东方A,2011-01-04,0.23,359.4477
000768.XSHE,西飞国际,2011-01-04,0.27,304.2515
000780.XSHE,平庄能源,2011-01-04,0.11,157.6232
000783.XSHE,长江证券,2011-01-04,0.27,251.4289
000807.XSHE,云铝股份,2011-01-04,0.15,144.2087
000876.XSHE,新希望,2011-01-04,0.16,177.7113
000999.XSHE,华润三九,2011-01-04,0.18,247.1722
002001.XSHE,新和成,2011-01-04,0.13,183.5191
002092.XSHE,中泰化学,2011-01-04,0.15,170.2652
002146.XSHE,荣盛发展,2011-01-04,0.15,214.3232
002385.XSHE,大北农,2011-01-04,0.06,164.3681
002399.XSHE,海普瑞,2011-01-04,0.2,560.9402
600000.XSHG,浦发银行,2011-01-04,1.93,1809.3867
600009.XSHG,上海机场,2011-01-04,0.21,238.3648
600010.XSHG,包钢股份,2011-01-04,0.18,251.1645
600068.XSHG,葛洲坝,2011-01-04,0.44,413.9614
600109.XSHG,国金证券,2011-01-04,0.08,148.636
600118.XSHG,中国卫星,2011-01-04,0.16,178.9483
600161.XSHG,天坛生物,2011-01-04,0.11,120.0522
600166.XSHG,福田汽车,2011-01-04,0.27,251.2619
600188.XSHG,兖州煤业,2011-01-04,0.3,1424.3687
600269.XSHG,赣粤高速,2011-01-04,0.12,131.2499
600300.XSHG,维维股份,2011-01-04,0.09,99.1496
600309.XSHG,烟台万华,2011-01-04,0.28,321.3562
600348.XSHG,国阳新能,2011-01-04,0.62,699.3739999999998
600352.XSHG,浙江龙盛,2011-01-04,0.22,176.2099
600383.XSHG,金地集团,2011-01-04,0.54,304.0626
600395.XSHG,盘江股份,2011-01-04,0.21,393.0196
600428.XSHG,中远航运,2011-01-04,0.1,112.0412
600518.XSHG,康美药业,2011-01-04,0.41,333.9603
600585.XSHG,海螺水泥,2011-01-04,0.73,1085.6505
600588.XSHG,用友软件,2011-01-04,0.17,187.7103
600595.XSHG,中孚实业,2011-01-04,0.15,165.3918
600598.XSHG,北大荒,2011-01-04,0.17,239.0979
600600.XSHG,青岛啤酒,2011-01-04,0.22,473.2493
600601.XSHG,方正科技,2011-01-04,0.16,90.21
600642.XSHG,申能股份,2011-01-04,0.26,243.05900000000003
600649.XSHG,城投控股,2011-01-04,0.16,185.4563
600655.XSHG,豫园商城,2011-01-04,0.27,193.4635
600663.XSHG,陆家嘴,2011-01-04,0.12,322.3623
600703.XSHG,三安光电,2011-01-04,0.23,317.5518
600737.XSHG,中粮屯河,2011-01-04,0.14,159.5894
600741.XSHG,华域汽车,2011-01-04,0.19,270.7194
600823.XSHG,世茂股份,2011-01-04,0.09,173.9505
600832.XSHG,东方明珠,2011-01-04,0.24,275.9366
600863.XSHG,内蒙华电,2011-01-04,0.1,190.7915
600875.XSHG,东方电气,2011-01-04,0.41,701.5514
600879.XSHG,航天电子,2011-01-04,0.16,110.9504
