,index_price,main_contract,end_date,long_rate,0d_rate,1m_rate,settle_price,close_price,remaining_days,future
2018-02-27,4058.98,IF1803,2018-03-16,0.15,2.5215,2.632,4049.0,4042.0,17,4063.031826742781
2018-02-28,4023.64,IF1803,2018-03-16,0.15,2.6685,2.7262,4021.2,4002.0,16,4027.6406666691505
2018-03-01,4049.09,IF1803,2018-03-16,0.15,2.6685,2.8186,4029.0,4035.0,15,4052.864348150103
2018-03-02,4016.46,IF1803,2018-03-16,0.15,2.7505,2.9318,4008.6,4010.0,14,4020.061713738
2018-03-05,4018.1,IF1803,2018-03-16,0.15,2.7505,2.9369,3994.4,3992.0,11,4020.9310734484247
2018-03-06,4066.56,IF1803,2018-03-16,0.15,2.7155,2.978,4049.0,4064.0,10,4069.1315978432876
2018-03-07,4036.65,IF1803,2018-03-16,0.15,2.6905,3.0006,4018.6,4009.4,9,4038.926264170171
2018-03-08,4077.6,IF1803,2018-03-16,0.15,2.6961,3.0382,4058.8,4065.2,8,4079.6481259739176
2018-03-09,4108.87,IF1803,2018-03-16,0.15,2.6991,3.1103,4100.8,4103.6,7,4110.6778628370175
2018-03-12,4127.67,IF1803,2018-03-16,0.15,2.7121,3.1105,4125.6,4119.4,4,4128.712789669693
2018-03-13,4091.25,IF1803,2018-03-16,0.15,2.7631,3.0752,4088.4,4075.2,3,4092.039768735103
2018-03-14,4073.34,IF1803,2018-03-16,0.15,2.7591,2.9930000000000003,4073.0,4065.0,2,4073.8634487416384
2018-03-15,4096.16,IF1803,2018-03-16,0.15,2.7581,2.9933,4086.8,4097.6,1,4096.423095234564
2018-03-16,4056.42,IF1803,2018-03-16,0.15,2.5481,2.9825,4081.29,4082.0,0,4056.42
2018-03-19,4074.25,IF1804,2018-04-20,0.15,2.5231,2.9608,4049.0,4049.2,32,4081.9105187057535
2018-03-20,4077.7,IF1804,2018-04-20,0.15,2.5201,2.99,4054.8,4049.6,31,4085.1185802777945
2018-03-21,4061.05,IF1804,2018-04-20,0.15,2.5211,3.0016,4039.8,4025.0,30,4068.2027941219867
2018-03-22,4020.35,IF1804,2018-04-20,0.15,2.5111,3.049,3990.8,3983.4,29,4027.1679204606917
2018-03-23,3904.94,IF1804,2018-04-20,0.15,2.5071,2.9692,3800.6,3816.4,28,3911.323665390718
2018-03-26,3879.89,IF1804,2018-04-20,0.15,2.3571,2.994,3845.0,3854.0,25,3885.214311925445
2018-03-27,3913.27,IF1804,2018-04-20,0.15,2.4056,2.9859,3880.6,3898.0,24,3918.5313904428713
2018-03-28,3842.72,IF1804,2018-04-20,0.15,2.3867,2.9876,3816.6,3809.2,23,3847.6323632208
2018-03-29,3894.05,IF1804,2018-04-20,0.15,2.8207,3.0062,3874.2,3886.4,22,3899.6773919401235
2018-03-30,3898.5,IF1804,2018-04-20,0.15,2.9297,3.0921,3885.0,3884.2,21,3904.0855513091096
2018-04-02,3886.92,IF1804,2018-04-20,0.15,2.8617,3.057,3869.4,3856.4,18,3891.582601209567
2018-04-03,3862.48,IF1804,2018-04-20,0.15,2.799,2.8993,3848.8,3853.6,17,3866.760003505863
2018-04-04,3854.86,IF1804,2018-04-20,0.15,2.5849,2.7951,3846.6,3841.6,16,3858.572773028778
2018-04-09,3852.93,IF1804,2018-04-20,0.15,2.4119,2.7951,3841.4,3845.8,11,3855.310505354971
2018-04-10,3927.17,IF1804,2018-04-20,0.15,2.2619,2.5929,3907.6,3925.8,10,3929.238612588918
2018-04-11,3938.34,IF1804,2018-04-20,0.15,2.1619,2.5997,3932.2,3932.6,9,3940.1245033953946
2018-04-12,3898.64,IF1804,2018-04-20,0.15,2.2316,2.5673,3895.2,3892.4,8,3900.26086011406
2018-04-13,3871.14,IF1804,2018-04-20,0.15,2.2316,2.5617,3867.0,3860.4,7,3872.5482486121314
2018-04-16,3808.86,IF1804,2018-04-20,0.15,2.2566,2.4925,3798.4,3796.6,4,3809.660636981326
2018-04-17,3748.64,IF1804,2018-04-20,0.15,2.3396,2.5443,3759.6,3738.8,3,3749.2527208566353
2018-04-18,3766.28,IF1804,2018-04-20,0.15,2.3536,2.4774,3766.6,3754.0,2,3766.6928585817427
2018-04-19,3811.84,IF1804,2018-04-20,0.15,2.6852,2.6057,3807.4,3811.0,1,3812.078362187748
2018-04-20,3760.85,IF1804,2018-04-20,0.15,2.6992,2.9235,3759.78,3760.2,0,3760.85
2018-04-23,3766.33,IF1805,2018-05-18,0.15,2.6992,2.8846,3734.4,3748.0,25,3772.248607017534
2018-04-24,3843.49,IF1805,2018-05-18,0.15,3.3905,3.4121,3830.2,3835.4,24,3850.773276658575
2018-04-25,3828.7,IF1805,2018-05-18,0.15,2.9902,3.0543,3816.2,3818.0,23,3834.832046968959
2018-04-26,3755.49,IF1805,2018-05-18,0.15,3.2512,3.1382,3736.6,3735.4,22,3761.745456930016
2018-04-27,3756.88,IF1805,2018-05-18,0.15,3.2915,3.392,3749.2,3746.0,21,3762.92736996663
2018-05-02,3763.65,IF1805,2018-05-18,0.15,2.8742,3.2062,3747.4,3758.8,16,3767.6806237393976
2018-05-03,3793.0,IF1805,2018-05-18,0.15,2.8352,2.9012,3792.2,3786.0,15,3796.7565040657532
2018-05-04,3774.6,IF1805,2018-05-18,0.15,2.5152,2.8625,3766.4,3763.4,14,3777.6952630040546
2018-05-07,3834.19,IF1805,2018-05-18,0.15,2.5152,2.7535,3826.8,3827.2,11,3836.6603864748713
2018-05-08,3878.68,IF1805,2018-05-18,0.15,2.2456,2.4617,3877.2,3880.0,10,3880.7083477361093
2018-05-09,3871.62,IF1805,2018-05-18,0.15,2.1906,2.4365,3861.8,3869.0,9,3873.397560449474
2018-05-10,3893.06,IF1805,2018-05-18,0.15,2.1796,2.4265,3886.6,3897.8,8,3894.640825542926
2018-05-11,3872.84,IF1805,2018-05-18,0.15,2.1796,2.497,3879.2,3876.2,7,3874.216038089885
2018-05-14,3909.29,IF1805,2018-05-18,0.15,2.2936,2.5442,3905.8,3912.2,4,3910.1252214150577
2018-05-15,3924.1,IF1805,2018-05-18,0.15,2.3915,2.599,3914.2,3924.6,3,3924.755628414589
2018-05-16,3892.84,IF1805,2018-05-18,0.15,2.5315,2.6227,3900.0,3894.6,2,3893.2989871666305
2018-05-17,3864.05,IF1805,2018-05-18,0.15,2.3099,2.5032,3867.4,3861.4,1,3864.2578557186507
2018-05-18,3903.06,IF1805,2018-05-18,0.15,2.2759,2.475,3879.28,3878.8,0,3903.06
2018-05-21,3921.24,IF1806,2018-06-15,0.15,2.2399,2.474,3908.8,3907.4,25,3926.3534983935615
2018-05-22,3906.21,IF1806,2018-06-15,0.15,2.3536,2.4483,3889.0,3895.0,24,3911.348372040066
2018-05-23,3854.58,IF1806,2018-06-15,0.15,2.4629,2.5385,3845.2,3835.4,23,3859.6648452425507
2018-05-24,3827.22,IF1806,2018-06-15,0.15,2.4930000000000003,2.4995,3812.2,3805.2,22,3832.108261695945
2018-05-25,3816.5,IF1806,2018-06-15,0.15,2.4962,2.6433,3792.0,3789.2,21,3821.158970939863
2018-05-28,3833.26,IF1806,2018-06-15,0.15,2.5012,2.7213,3814.2,3821.2,18,3837.2789746206467
2018-05-29,3804.01,IF1806,2018-06-15,0.15,2.6373,2.7317,3791.8,3775.0,17,3807.9816975350645
2018-05-30,3723.37,IF1806,2018-06-15,0.15,2.7868,2.9017,3717.0,3699.2,16,3727.2362331566464
2018-05-31,3802.38,IF1806,2018-06-15,0.15,2.7835,2.8877,3778.6,3784.0,15,3806.077124391986
2018-06-01,3770.59,IF1806,2018-06-15,0.15,2.7535,2.9998,3741.4,3752.8,14,3773.9749206253014
2018-06-04,3807.58,IF1806,2018-06-15,0.15,2.6212,2.9987,3786.6,3786.0,11,3810.136630364592
2018-06-05,3845.32,IF1806,2018-06-15,0.15,2.6212,2.9871,3822.2,3822.8,10,3847.66724653874
2018-06-06,3837.35,IF1806,2018-06-15,0.15,2.6212,2.9871,3820.8,3823.6,9,3839.458143367753
2018-06-07,3831.01,IF1806,2018-06-15,0.15,2.4373,3.0872,3819.4,3817.2,8,3832.7495556322306
2018-06-08,3779.62,IF1806,2018-06-15,0.15,2.2715,3.0872,3755.0,3761.0,7,3781.019538921603
2018-06-11,3779.98,IF1806,2018-06-15,0.15,2.2815,3.0052,3765.6,3773.4,4,3780.7833337769316
2018-06-12,3825.95,IF1806,2018-06-15,0.15,2.2925,2.9452,3824.8,3818.0,3,3826.562767820719
2018-06-13,3788.34,IF1806,2018-06-15,0.15,2.2975,2.9274,3782.4,3778.4,2,3788.7453783275346
2018-06-14,3773.37,IF1806,2018-06-15,0.15,2.2995,2.9935,3771.8,3768.6,1,3773.5720639635
2018-06-15,3753.43,IF1806,2018-06-15,0.15,2.3005,2.9935,3752.56,3752.8,0,3753.43
2018-06-19,3621.12,IF1807,2018-07-20,0.15,2.2235,2.955,3574.2,3569.6,31,3626.9325647789587
2018-06-20,3635.44,IF1807,2018-07-20,0.15,2.3526,3.0504,3601.4,3596.4,30,3641.4151992238903
2018-06-21,3592.97,IF1807,2018-07-20,0.15,2.2935,2.9610000000000003,3557.0,3546.6,29,3598.535143850185
2018-06-22,3608.9,IF1807,2018-07-20,0.15,2.2865,3.1435,3564.6,3572.4,28,3614.2805930528766
2018-06-25,3560.48,IF1807,2018-07-20,0.15,2.2645,3.1952,3526.0,3509.2,25,3565.1740417232877
2018-06-26,3531.11,IF1807,2018-07-20,0.15,2.2185,3.0533,3482.4,3492.0,24,3535.488324868877
2018-06-27,3459.26,IF1807,2018-07-20,0.15,2.1455,3.0533,3406.6,3388.2,23,3463.235260754836
2018-06-28,3423.53,IF1807,2018-07-20,0.15,1.9895,3.0578,3386.8,3380.2,22,3427.0195290927263
2018-06-29,3510.98,IF1807,2018-07-20,0.15,2.3285,3.0317,3479.8,3477.2,21,3514.9780659506987
2018-07-02,3407.96,IF1807,2018-07-20,0.15,2.2195,2.7019,3351.4,3352.6,18,3411.130649273041
2018-07-03,3409.28,IF1807,2018-07-20,0.15,2.1205,2.5668,3363.0,3364.8,17,3412.142041522411
2018-07-04,3363.75,IF1807,2018-07-20,0.15,1.8995,2.5211,3328.6,3330.6,16,3366.1307240136985
2018-07-05,3342.44,IF1807,2018-07-20,0.15,1.8983,2.3507,3307.8,3303.4,15,3344.6563879893974
2018-07-06,3365.12,IF1807,2018-07-20,0.15,1.8451,2.2257,3339.4,3328.2,14,3367.144298538433
2018-07-09,3459.18,IF1807,2018-07-20,0.15,1.9038,2.2519,3432.8,3439.8,11,3460.8669928045315
2018-07-10,3467.52,IF1807,2018-07-20,0.15,1.9038,2.2354,3432.2,3445.8,10,3469.057327367014
2018-07-11,3407.53,IF1807,2018-07-20,0.15,1.863,2.1827,3371.6,3379.4,9,3408.860519100918
2018-07-12,3481.06,IF1807,2018-07-20,0.15,1.7834,2.0917,3479.0,3475.2,8,3482.2165817081423
2018-07-13,3492.69,IF1807,2018-07-20,0.15,1.8647,2.2203,3480.2,3476.6,7,3493.7516787207082
2018-07-16,3472.09,IF1807,2018-07-20,0.15,2.0617,2.2223,3457.4,3459.0,4,3472.756810603841
2018-07-17,3449.38,IF1807,2018-07-20,0.15,2.1212,2.2123,3430.4,3442.0,3,3449.891175435145
2018-07-18,3431.32,IF1807,2018-07-20,0.15,1.8848,2.2112,3430.4,3424.0,2,3431.621219131266
2018-07-19,3428.34,IF1807,2018-07-20,0.15,1.8072,2.1788,3426.8,3431.8,1,3428.4842833326247
2018-07-20,3492.89,IF1807,2018-07-20,0.15,2.0634,2.1974,3472.66,3473.4,0,3492.89
2018-07-23,3525.75,IF1808,2018-08-17,0.15,2.071,2.1764,3509.8,3509.2,25,3530.001064392123
2018-07-24,3581.71,IF1808,2018-08-17,0.15,2.1445,2.1943,3574.0,3574.2,24,3586.002929664055
2018-07-25,3577.75,IF1808,2018-08-17,0.15,2.0911,2.1289,3566.8,3568.2,23,3581.7571785106506
2018-07-26,3536.25,IF1808,2018-08-17,0.15,2.0631,2.0775,3526.0,3525.0,22,3539.987764901712
2018-07-27,3521.23,IF1808,2018-08-17,0.15,1.9848,1.9859,3518.2,3520.0,21,3524.6478775582577
2018-07-30,3515.08,IF1808,2018-08-17,0.15,1.9955,2.0326,3495.0,3503.2,18,3518.020258486082
2018-07-31,3517.66,IF1808,2018-08-17,0.15,1.995,2.0432,3509.0,3512.6,17,3520.438252686712
2018-08-01,3447.39,IF1808,2018-08-17,0.15,1.957,2.0452,3442.6,3423.2,16,3449.903780118575
2018-08-02,3370.96,IF1808,2018-08-17,0.15,1.9984,2.0487,3339.8,3345.0,15,3373.3131702031783
2018-08-03,3315.28,IF1808,2018-08-17,0.15,1.8842,1.995,3306.0,3283.6,14,3317.316579228888
2018-08-06,3273.27,IF1808,2018-08-17,0.15,1.7753,1.8833,3261.0,3259.8,11,3274.7585805139684
2018-08-07,3368.87,IF1808,2018-08-17,0.15,1.6819,1.8596,3345.8,3358.8,10,3370.1895033109727
2018-08-08,3314.51,IF1808,2018-08-17,0.15,1.4909,1.785,3297.4,3304.8,9,3315.545705825654
2018-08-09,3397.53,IF1808,2018-08-17,0.15,1.6247,1.8439,3396.8,3386.0,8,3398.5583774120223
2018-08-10,3405.02,IF1808,2018-08-17,0.15,1.8287,1.844,3392.6,3397.0,7,3406.035047190145
2018-08-13,3390.34,IF1808,2018-08-17,0.15,1.8887,1.89,3383.6,3382.2,4,3390.936475055814
2018-08-14,3372.91,IF1808,2018-08-17,0.15,1.9013,1.9072,3360.4,3369.6,3,3373.3580254834696
2018-08-15,3291.98,IF1808,2018-08-17,0.15,1.9183,1.9252,3286.2,3284.4,2,3292.2741235314465
2018-08-16,3276.73,IF1808,2018-08-17,0.15,1.9321,1.9435,3281.2,3271.4,1,3276.8774335487137
2018-08-17,3229.62,IF1808,2018-08-17,0.15,2.0011,2.005,3248.69,3248.6,0,3229.62
2018-08-20,3267.25,IF1809,2018-09-21,0.15,2.0461,2.0741,3241.6,3251.0,32,3272.2317882224656
2018-08-21,3326.65,IF1809,2018-09-21,0.15,2.0461,2.0541,3307.6,3301.0,31,3331.563848032541
2018-08-22,3307.95,IF1809,2018-09-21,0.15,1.9481,2.0396,3292.2,3300.2,30,3312.452124481438
2018-08-23,3320.03,IF1809,2018-09-21,0.15,1.8907,1.9933,3314.0,3302.2,29,3324.2692467061
2018-08-24,3325.33,IF1809,2018-09-21,0.15,1.8287,1.9563,3315.8,3309.8,28,3329.2951654002686
2018-08-27,3406.57,IF1809,2018-09-21,0.15,1.8767,1.9693,3394.2,3397.8,25,3410.292016048733
2018-08-28,3400.17,IF1809,2018-09-21,0.15,1.8622,1.9636,3386.0,3387.0,24,3403.7088671262904
2018-08-29,3386.57,IF1809,2018-09-21,0.15,1.9096,1.9877,3374.8,3379.8,23,3390.033828331715
2018-08-30,3351.09,IF1809,2018-09-21,0.15,1.7971,1.9727,3343.6,3343.0,22,3354.175368761351
2018-08-31,3334.5,IF1809,2018-09-21,0.15,1.8291,1.9657,3322.0,3321.2,21,3337.4827271508902
2018-09-03,3321.82,IF1809,2018-09-21,0.15,1.7971,1.9617,3308.6,3310.4,18,3324.3223433875783
2018-09-04,3363.9,IF1809,2018-09-21,0.15,1.7151,1.9517,3361.6,3357.2,17,3366.1840599906986
2018-09-05,3298.14,IF1809,2018-09-21,0.15,1.6841,1.9417,3293.2,3277.8,16,3300.2095837536
2018-09-06,3262.88,IF1809,2018-09-21,0.15,2.0141,2.0217,3256.0,3248.6,15,3265.1756171027946
2018-09-07,3277.64,IF1809,2018-09-21,0.15,2.1031,2.1034,3265.0,3273.2,14,3279.8873735819066
2018-09-10,3230.07,IF1809,2018-09-21,0.15,2.0851,2.1126,3226.6,3227.0,11,3231.795271979396
2018-09-11,3224.21,IF1809,2018-09-21,0.15,2.1021,2.1590000000000003,3215.4,3219.0,10,3225.7883479629727
2018-09-12,3202.02,IF1809,2018-09-21,0.15,2.0691,2.16,3202.8,3196.4,9,3203.4085901863646
2018-09-13,3236.57,IF1809,2018-09-21,0.15,2.0421,2.1993,3227.4,3238.4,8,3237.8013401988933
2018-09-14,3242.09,IF1809,2018-09-21,0.15,1.9732,2.1975,3241.2,3240.6,7,3243.132846228181
2018-09-17,3204.92,IF1809,2018-09-21,0.15,1.9502,2.0696,3209.8,3207.2,4,3205.5022136697426
2018-09-18,3269.43,IF1809,2018-09-21,0.15,2.1163,2.0872,3267.2,3273.4,3,3269.913388808437
2018-09-19,3312.48,IF1809,2018-09-21,0.15,2.0298,2.0655,3323.0,3311.0,2,3312.793157321556
2018-09-20,3310.13,IF1809,2018-09-21,0.15,1.9868,2.0066,3314.6,3315.0,1,3310.2831529134633
2018-09-21,3410.49,IF1809,2018-09-21,0.15,1.9818,2.0657,3386.46,3388.8,0,3410.49
2018-09-25,3379.8,IF1810,2018-10-19,0.15,2.0108,2.0277,3384.2,3389.2,24,3383.598369247562
2018-09-26,3417.24,IF1810,2018-10-19,0.15,2.0108,1.9855,3423.2,3422.2,23,3420.9204273987284
2018-09-27,3403.59,IF1810,2018-10-19,0.15,1.9178,2.099,3416.2,3415.8,22,3406.9341773059564
2018-09-28,3438.86,IF1810,2018-10-19,0.15,1.9063,2.1326,3439.4,3448.8,21,3442.065908326063
2018-10-08,3290.9,IF1810,2018-10-19,0.15,1.7893,2.0305,3303.6,3288.8,11,3292.408400244096
2018-10-09,3288.69,IF1810,2018-10-19,0.15,1.8267,1.8792,3286.6,3287.0,10,3290.0889952108355
2018-10-10,3281.6,IF1810,2018-10-19,0.15,1.7753,1.8046,3289.2,3289.0,9,3282.821028966356
2018-10-11,3124.11,IF1810,2018-10-19,0.15,1.7999,1.8005,3116.6,3106.8,8,3125.157588548088
2018-10-12,3170.73,IF1810,2018-10-19,0.15,1.7999,1.8005,3171.6,3169.0,7,3171.6603186771413
2018-10-15,3126.45,IF1810,2018-10-19,0.15,1.7944,1.8418,3125.0,3122.4,4,3126.9725848326575
2018-10-16,3100.97,IF1810,2018-10-19,0.15,1.888,1.895,3106.4,3110.2,3,3101.379022190904
2018-10-17,3118.25,IF1810,2018-10-19,0.15,1.8653,1.8837,3127.2,3121.0,2,3118.5209041625344
2018-10-18,3044.39,IF1810,2018-10-19,0.15,1.8836,1.8837,3061.2,3048.0,1,3044.5235411247504
2018-10-19,3134.95,IF1810,2018-10-19,0.15,1.8705,1.8815,3107.38,3108.2,0,3134.95
2018-10-22,3270.27,IF1811,2018-11-16,0.15,1.8305,1.8309,3282.6,3288.4,25,3273.755133458733
2018-10-23,3183.43,IF1811,2018-11-16,0.15,1.8065,1.8119,3180.6,3180.2,24,3186.6441828059724
2018-10-24,3188.2,IF1811,2018-11-16,0.15,1.7485,1.8341,3191.6,3186.2,23,3191.1858300968493
2018-10-25,3194.31,IF1811,2018-11-16,0.15,1.5705,1.8402,3187.6,3203.6,22,3196.880181207904
2018-10-26,3173.64,IF1811,2018-11-16,0.15,1.5205,1.8696,3161.0,3165.8,21,3175.9998774032056
2018-10-29,3076.89,IF1811,2018-11-16,0.15,1.5205,1.8686,3073.2,3077.0,18,3078.8510874533836
2018-10-30,3110.26,IF1811,2018-11-16,0.15,1.5205,1.8577,3119.8,3113.0,17,3112.1322252676305
2018-10-31,3153.82,IF1811,2018-11-16,0.15,1.8805,1.8899,3153.2,3151.0,16,3156.0298168694794
2018-11-01,3177.03,IF1811,2018-11-16,0.15,1.8805,1.905,3178.8,3174.6,15,3179.116949662089
2018-11-02,3290.25,IF1811,2018-11-16,0.15,1.8805,1.9449,3293.2,3306.6,14,3292.267234246233
2018-11-05,3262.84,IF1811,2018-11-16,0.15,1.8805,2.0013,3259.0,3262.6,11,3264.4117658985483
2018-11-06,3243.15,IF1811,2018-11-16,0.15,1.8753,1.9697,3240.2,3245.0,10,3244.5663280317126
2018-11-07,3221.91,IF1811,2018-11-16,0.15,1.8729,1.9717,3219.2,3214.4,9,3223.1747263446123
2018-11-08,3212.77,IF1811,2018-11-16,0.15,1.8729,1.9775,3214.6,3215.2,8,3213.8910120313535
2018-11-09,3167.44,IF1811,2018-11-16,0.15,1.8729,1.9775,3175.0,3169.8,7,3168.4070458996493
2018-11-12,3205.14,IF1811,2018-11-16,0.15,2.0,2.0001,3205.0,3204.0,4,3205.737121972603
2018-11-13,3237.38,IF1811,2018-11-16,0.15,2.0,2.0001,3247.4,3237.2,3,3237.8323462465755
2018-11-14,3204.94,IF1811,2018-11-16,0.15,1.857,1.9252,3200.4,3204.4,2,3205.217196577699
2018-11-15,3242.37,IF1811,2018-11-16,0.15,1.871,1.9046,3239.6,3241.2,1,3242.511274058342
2018-11-16,3257.67,IF1811,2018-11-16,0.15,1.8887,1.9288,3267.76,3267.2,0,3257.67
2018-11-19,3294.6,IF1812,2018-12-21,0.15,2.0887,2.0887,3289.8,3296.4,32,3299.7280801025754
2018-11-20,3218.41,IF1812,2018-12-21,0.15,2.0881,2.0915,3218.8,3223.4,31,3223.261548948448
2018-11-21,3226.49,IF1812,2018-12-21,0.15,2.0581,2.0852,3221.6,3222.0,30,3231.1292108564244
2018-11-22,3214.43,IF1812,2018-12-21,0.15,1.9351,2.0194,3215.8,3212.0,29,3218.630794578149
2018-11-23,3143.48,IF1812,2018-12-21,0.15,1.8714,1.9557,3144.4,3136.2,28,3147.315848263934
2018-11-26,3141.24,IF1812,2018-12-21,0.15,1.86,1.9443,3128.8,3130.4,25,3144.6415756438355
2018-11-27,3137.24,IF1812,2018-12-21,0.15,1.86,1.8801,3121.4,3126.6,24,3140.5013543715067
2018-11-28,3178.93,IF1812,2018-12-21,0.15,1.843,1.8718,3171.6,3171.4,23,3182.0680524439585
2018-11-29,3137.65,IF1812,2018-12-21,0.15,1.843,1.8706,3139.0,3138.6,22,3140.612637900411
2018-11-30,3172.69,IF1812,2018-12-21,0.15,2.2230000000000003,2.2506,3168.6,3168.0,21,3176.1391529912194
2018-12-03,3260.95,IF1812,2018-12-21,0.1,1.8345,2.1171,3262.0,3259.2,18,3263.6051190946573
2018-12-04,3267.71,IF1812,2018-12-21,0.1,1.7469,2.1255,3265.4,3270.0,17,3270.1028204867043
2018-12-05,3252.0,IF1812,2018-12-21,0.1,1.5689,2.0887,3259.2,3253.8,16,3254.0128686115067
2018-12-06,3181.67,IF1812,2018-12-21,0.1,1.7099,2.1899,3186.4,3187.8,15,3183.6821796354934
2018-12-07,3181.56,IF1812,2018-12-21,0.1,1.7079,2.2058,3184.2,3179.6,14,3183.4357728132163
2018-12-10,3144.76,IF1812,2018-12-21,0.1,1.7449,2.2695,3152.6,3148.6,11,3146.2483339196606
2018-12-11,3159.82,IF1812,2018-12-21,0.1,1.7549,2.2889,3154.0,3164.6,10,3161.187301727726
2018-12-12,3170.61,IF1812,2018-12-21,0.1,1.7159,2.3715,3174.4,3172.4,9,3171.817332672929
2018-12-13,3219.69,IF1812,2018-12-21,0.1,1.7256,2.3978,3225.6,3222.8,8,3220.785957777008
2018-12-14,3165.91,IF1812,2018-12-21,0.1,1.78,2.4137,3174.0,3169.4,7,3166.882671636712
2018-12-17,3161.2,IF1812,2018-12-21,0.1,1.75,2.4393,3164.4,3167.8,4,3161.745631780822
2018-12-18,3128.43,IF1812,2018-12-21,0.1,1.794,2.4205,3131.6,3128.4,3,3128.8451640886024
2018-12-19,3091.13,IF1812,2018-12-21,0.1,1.779,2.4637,3098.6,3091.8,2,3091.401189492767
2018-12-20,3067.42,IF1812,2018-12-21,0.1,1.692,2.4364,3068.6,3073.2,1,3067.547974443178
2018-12-21,3029.4,IF1812,2018-12-21,0.1,1.611,2.4029,3016.74,3016.2,0,3029.4
