,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
600079,24806,420600079,人福医药集团股份公司,600079.XSHG,2016-12-31,年度分红,2017-03-29,10派1.1元(含税),128604.9062,2017-04-21,10派1.1元(含税),128604.9062,2017-06-09,10派1.1元(含税),128604.9062,1.1,1.1,14146.5397,2017-06-15,2017-06-16,2017-06-16,128604.9062,313002,实施方案
600104,25784,420600104,上海汽车集团股份有限公司,600104.XSHG,2016-12-31,年度分红,2017-04-06,10派16.5元(含税),1168346.1365,2017-05-26,10派16.5元(含税),1168346.1365,2017-06-10,10派16.5元(含税),1168346.1365,16.5,16.5,1927771.1252,2017-06-15,2017-06-16,2017-06-16,1168346.1365,313002,实施方案
600300,32359,420600300,维维食品饮料股份有限公司,600300.XSHG,2016-12-31,年度分红,2017-03-22,10派0.2元(含税),167200.0,2017-04-21,10派0.2元(含税),167200.0,2017-06-12,10派0.2元(含税),167200.0,0.2,0.2,3344.0,2017-06-15,2017-06-16,2017-06-16,167200.0,313002,实施方案
600657,131433,420600657,信达地产股份有限公司,600657.XSHG,2016-12-31,年度分红,2017-03-30,10派1.2元(含税),152426.0442,2017-04-20,10派1.2元(含税),152426.0442,2017-06-09,10派1.2元(含税),152426.0442,1.2,1.2,18291.1253,2017-06-15,2017-06-16,2017-06-16,152426.0442,313002,实施方案
600895,141170,420600895,上海张江高科技园区开发股份有限公司,600895.XSHG,2016-12-31,年度分红,2017-04-08,10派1.5元(含税),154868.955,2017-05-04,10派1.5元(含税),154868.955,2017-06-09,10派1.5元(含税),154868.955,1.5,1.5,23230.3433,2017-06-15,2017-06-16,2017-06-16,154868.955,313002,实施方案
601018,8977,300010907,宁波舟山港股份有限公司,601018.XSHG,2016-12-31,年度分红,2017-03-30,10派0.68元(含税),1317284.7809,2017-04-20,10派0.68元(含税),1317284.7809,2017-06-10,10派0.68元(含税),1317284.7809,0.68,0.68,89575.3651,2017-06-15,2017-06-16,2017-06-16,1317284.7809,313002,实施方案
601179,8431,300010350,中国西电电气股份有限公司,601179.XSHG,2016-12-31,年度分红,2017-04-11,10派1元(含税),512588.2352,2017-05-11,10派1元(含税),512588.2352,2017-06-09,10派1元(含税),512588.2352,1.0,1.0,51258.8235,2017-06-15,2017-06-16,2017-06-16,512588.2352,313002,实施方案
601628,1503,300001881,中国人寿保险股份有限公司,601628.XSHG,2016-12-31,年度分红,2017-03-24,10派2.4元(含税),2826470.5,2017-06-01,10派2.4元(含税),2826470.5,2017-06-12,10派2.4元(含税),2826470.5,2.4,2.4,678352.92,2017-06-15,2017-06-16,2017-06-16,2826470.5,313002,实施方案
601668,5845,300005970,中国建筑股份有限公司,601668.XSHG,2016-12-31,年度分红,2017-04-13,10派2.15元(含税),2999582.0,2017-05-06,10派2.15元(含税),2999582.0,2017-06-09,10派2.15元(含税),2999582.0,2.15,2.15,644910.13,2017-06-15,2017-06-16,2017-06-16,2999582.0,313002,实施方案
601808,3427,300003692,中海油田服务股份有限公司,601808.XSHG,2016-12-31,年度分红,2017-03-22,10派0.5元(含税),477159.2,2017-06-02,10派0.5元(含税),477159.2,2017-06-09,10派0.5元(含税),477159.2,0.5,0.5,23857.96,2017-06-15,2017-06-16,2017-06-16,477159.2,313002,实施方案
601888,6638,300008313,中国国旅股份有限公司,601888.XSHG,2016-12-31,年度分红,2017-04-29,10转增10股派10元(含税),97623.7772,2017-05-24,10转增10股派10元(含税),97623.7772,2017-06-09,10转增10股派10元(含税),97623.7772,10.0,10.0,97623.7772,2017-06-15,2017-06-16,2017-06-16,97623.7772,313002,实施方案
