,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
300024.XSHE,300004062,沈阳新松机器人自动化股份有限公司,300024.XSHE,2017-12-31,年度分红,2018-03-23,10派0.5元(含税),2018-04-18,10派0.5元(含税),2018-06-08,10派0.5元(含税),156023.9617,0.5,0.5,7801.1981,2018-06-14,2018-06-15,2018-06-15,156023.9617,313002,实施方案
600033.XSHG,420600033,福建发展高速公路股份有限公司,600033.XSHG,2017-12-31,年度分红,2018-04-21,10派1.2元(含税),2018-05-18,10派1.2元(含税),2018-06-08,10派1.2元(含税),274440.0,1.2,1.2,32932.8,2018-06-14,2018-06-15,2018-06-15,274440.0,313002,实施方案
600267.XSHG,420600267,浙江海正药业股份有限公司,600267.XSHG,2017-12-31,年度分红,2018-03-27,10派0.5元(含税),2018-04-19,10派0.5元(含税),2018-06-08,10派0.5元(含税),96553.1842,0.5,0.5,4827.6592,2018-06-14,2018-06-15,2018-06-15,96553.1842,313002,实施方案
600350.XSHG,420600350,山东高速股份有限公司,600350.XSHG,2017-12-31,年度分红,2018-03-31,10派1.78元(含税),2018-04-21,10派1.78元(含税),2018-06-08,10派1.78元(含税),481116.5857,1.78,1.78,85638.7523,2018-06-14,2018-06-15,2018-06-15,481116.5857,313002,实施方案
600519.XSHG,420600519,贵州茅台酒股份有限公司,600519.XSHG,2017-12-31,年度分红,2018-03-28,10派109.99元(含税),2018-05-24,10派109.99元(含税),2018-06-08,10派109.99元(含税),125619.78,109.99,109.99,1381691.9602,2018-06-14,2018-06-15,2018-06-15,125619.78,313002,实施方案
600717.XSHG,420600717,天津港股份有限公司,600717.XSHG,2017-12-31,年度分红,2018-03-24,10派1.48元(含税),2018-04-27,10派1.48元(含税),2018-06-09,10派1.48元(含税),167476.91199999998,1.48,1.48,24786.583,2018-06-14,2018-06-15,2018-06-15,167476.91199999998,313002,实施方案
600887.XSHG,420600887,内蒙古伊利实业集团股份有限公司,600887.XSHG,2017-12-31,年度分红,2018-04-27,10派7元(含税),2018-06-01,10派7元(含税),2018-06-11,10派7元(含税),607849.2608,7.0,7.0,425494.4826,2018-06-14,2018-06-15,2018-06-15,607849.2608,313002,实施方案
600893.XSHG,420600893,中国航发动力股份有限公司,600893.XSHG,2017-12-31,年度分红,2018-03-30,10派1.29元(含税),2018-04-21,10派1.29元(含税),2018-06-09,10派1.29元(含税),224984.445,1.29,1.29,29022.9934,2018-06-14,2018-06-15,2018-06-15,224984.445,313002,实施方案
601166.XSHG,300002081,兴业银行股份有限公司,601166.XSHG,2017-12-31,年度分红,2018-04-25,10派6.5元(含税),2018-05-26,10派6.5元(含税),2018-06-08,10派6.5元(含税),2077419.0751,6.5,6.5,1350322.3988,2018-06-14,2018-06-15,2018-06-15,2077419.0751,313002,实施方案
601179.XSHG,300010350,中国西电电气股份有限公司,601179.XSHG,2017-12-31,年度分红,2018-04-05,10派0.53元(含税),2018-05-04,10派0.53元(含税),2018-06-08,10派0.53元(含税),512588.2352,0.53,0.53,27167.1765,2018-06-14,2018-06-15,2018-06-15,512588.2352,313002,实施方案
601808.XSHG,300003692,中海油田服务股份有限公司,601808.XSHG,2017-12-31,年度分红,2018-03-28,10派0.6元(含税),2018-05-31,10派0.6元(含税),2018-06-08,10派0.6元(含税),477159.2,0.6,0.6,28629.552000000003,2018-06-14,2018-06-15,2018-06-15,477159.2,313002,实施方案
601877.XSHG,300010254,浙江正泰电器股份有限公司,601877.XSHG,2017-12-31,年度分红,2018-04-21,10派7元(含税),2018-05-29,10派7元(含税),2018-06-08,10派7元(含税),215142.8516,7.0,7.0,150599.9961,2018-06-14,2018-06-15,2018-06-15,215142.8516,313002,实施方案
601966.XSHG,300023113,山东玲珑轮胎股份有限公司,601966.XSHG,2017-12-31,年度分红,2018-04-23,10派2.62元(含税),2018-05-15,10派2.62元(含税),2018-06-11,10派2.62元(含税),120000.0,2.62,2.62,31440.0,2018-06-14,2018-06-15,2018-06-15,120000.0,313002,实施方案
